Strategy,Final Wallet,Total Perf (%),Sharpe Ratio,Max DD (%),Win Rate (%),N Trades,Avg PnL (%),Max Win (%),Max Loss (%),Total Fees,Avg Exposition,Avg Long Expo,Avg Short Expo,Avg Duration (h)
Conservative (Fixed),1253.86285852411,25.386285852410985,2.2676783488508816,-2.107322204791715,66.19047619047619,1470,0.7927152533160099,7.959234134361437,-9.753470694138844,18.287550846819705,14.49265703036825,8.528893883589625,5.963763146778624,6.846938775510204
Conservative (Adaptive),1027.4648210115927,2.7464821011592644,0.22273333995670647,-13.830389939849033,59.50797872340425,1504,0.3153610487088199,9.675741662716721,-9.753470694138848,16.24553405538807,12.337770159355799,7.226203581662377,5.111566577693423,6.664228723404255
Standard (Live actuel) (Fixed),1412.5943455402853,41.25943455402854,2.982431312532434,-2.0641887699542796,72.5897920604915,529,1.459974915161994,11.568371504152493,-9.630526105221044,12.50048735444533,7.03922122116294,4.298711014830469,2.740510206332471,4.87523629489603
Standard (Live actuel) (Adaptive),1149.2196564665805,14.921965646658064,1.0136477925474672,-5.479553141696027,60.22099447513812,543,0.5878265536646563,11.084276117104812,-9.630526105221051,10.950086543546234,5.7684258831201065,3.6059870249381394,2.162438858181967,4.69060773480663
Aggressive (Fixed),1314.4292144161998,31.442921441619976,2.574532194772462,-1.2552368639799867,77.61194029850746,201,2.4517967598840915,11.30937836475994,-9.630526105221046,5.422547964202809,1.5675659868945293,0.8838128948208795,0.6837530920736496,3.398009950248756
Aggressive (Adaptive),1178.5223292362277,17.85223292362277,1.2954720839439149,-4.486297605402079,61.057692307692314,208,1.223336604761772,14.131090821029899,-9.730426085217035,5.269488663032517,1.3517542891512666,0.80476405812495,0.5469902310263167,3.173076923076923
Wide Envelopes (Fixed),1193.1564146461963,19.315641464619617,2.4823824308464535,-0.939208682147553,77.77777777777779,180,2.9608017868227083,13.428177762568374,-9.402980596119237,2.992519907386453,1.214192723905791,0.7780224835750356,0.43617024033075547,4.4944444444444445
Wide Envelopes (Adaptive),1099.0249780004553,9.902497800045529,1.028586990552111,-3.2314297257409064,60.0,185,1.4308110647516374,15.99654373020588,-9.730426085217038,2.994369311383407,1.166303291594365,0.7075409293565391,0.45876236223782585,4.194594594594594
Tight Envelopes (Fixed),1533.6818913385255,53.36818913385255,3.68127774533433,-2.1320365166878315,68.97321428571429,1344,1.0199982272752766,7.669811432569822,-9.73042608521704,27.28086715892762,15.37752227906703,9.090315435908131,6.287206843158899,4.9851190476190474
Tight Envelopes (Adaptive),1156.9464755102579,15.694647551025787,1.01137252531101,-13.023161168683234,60.79005120702268,1367,0.509259427917625,9.378727957400157,-9.753470694138842,22.320786653696224,12.171607857442552,7.226973645159796,4.944634212282757,4.873445501097294
